	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Protein Family ID(s)	Associated Gene Name
17940	ENSG00000125651	19	6379580	6393992	ENSFM00250000002821	GTF2F1
17941	ENSG00000136026	12	106631655	106698057	ENSFM00250000007369	CKAP4
17942	ENSG00000255154	3	58303341	58303847	ENSFM00500000288621	RPP14
17943	ENSG00000244038	1	20978270	20988000	ENSFM00250000004027	DDOST
17944	ENSG00000114745	3	39138150	39149854	ENSFM00250000002089	GORASP1
17945	ENSG00000131966	14	58666798	58701750	ENSFM00250000004727	ACTR10
17946	ENSG00000197860	5	64961755	65018862	ENSFM00500000270552	SGTB
17947	ENSG00000096996	19	18169805	18209754	ENSFM00250000009060	IL12RB1
17948	ENSG00000133958	14	93799565	94174222	ENSFM00250000002517	UNC79
17949	ENSG00000023445	11	102188215	102210134	ENSFM00740001589180	BIRC3
17950	ENSG00000134193	1	120336641	120354283	ENSFM00500000274172	REG4
17951	ENSG00000205629	16	25123050	25189552	ENSFM00500000271002	LCMT1
17952	ENSG00000159713	16	67423712	67427438	ENSFM00250000003009	TPPP3
17953	ENSG00000134249	1	120436156	120439118	ENSFM00740001589115	ADAM30
17954	ENSG00000100453	14	25100160	25103473	ENSFM00500000269665	GZMB
17955	ENSG00000177494	3	111311747	111314290	ENSFM00500000277915	ZBED2
17956	ENSG00000117245	1	20990507	21044510	ENSFM00730001521221	KIF17
17957	ENSG00000099308	19	18208603	18262502	ENSFM00250000000518	MAST3
17958	ENSG00000240891	3	111393523	111565294	ENSFM00500000271247	PLCXD2
17959	ENSG00000166046	12	106695707	106740793	ENSFM00250000001656	TCP11L2
17960	ENSG00000106077	7	73150424	73153197	ENSFM00500000272327	ABHD11
17961	ENSG00000185055	7	105205567	105241322	ENSFM00560000771691	EFCAB10
17962	ENSG00000159714	16	67428322	67450736	ENSFM00500000271585	ZDHHC1
17963	ENSG00000134250	1	120454176	120612240	ENSFM00500000269589	NOTCH2
17964	ENSG00000088247	19	6413359	6424805	ENSFM00250000001137	KHSRP
17965	ENSG00000110330	11	102217942	102249401	ENSFM00740001589180	BIRC2
17966	ENSG00000163534	1	157764193	157789895	ENSFM00740001589293	FCRL1
17967	ENSG00000168297	3	58318607	58411748	ENSFM00250000003182	PXK
17968	ENSG00000105647	19	18263928	18281350	ENSFM00250000000988	PIK3R2
17969	ENSG00000187258	7	34697851	34917944	ENSFM00500000270865	NPSR1
17970	ENSG00000146776	7	105245514	105517050	ENSFM00600000921292	ATXN7L1
17971	ENSG00000103375	16	25227052	25240261	ENSFM00500000271333	AQP8
17972	ENSG00000176387	16	67464555	67471456	ENSFM00500000270244	HSD11B2
17973	ENSG00000189410	1	21046225	21059330	ENSFM00250000007882	SH2D5
17974	ENSG00000041802	3	194361517	194393206	ENSFM00250000004123	LSG1
17975	ENSG00000155592	16	25247322	25269252	ENSFM00740001589269	ZKSCAN2
17976	ENSG00000152558	11	102267063	102341115	ENSFM00670001237105	TMEM123
17977	ENSG00000181240	19	6426048	6433790	ENSFM00500000269757	SLC25A41
17978	ENSG00000198019	1	120926979	120935937	ENSFM00500000271490	FCGR1B
17979	ENSG00000137673	11	102391239	102401484	ENSFM00400000131728	MMP7
17980	ENSG00000182601	16	25703347	26149009	ENSFM00730001521766	HS3ST4
17981	ENSG00000159720	16	67471917	67515140	ENSFM00250000003242	ATP6V0D1
17982	ENSG00000126746	12	6775643	6798738	ENSFM00260000050489	ZNF384
17983	ENSG00000236334	1	143767144	143767881	ENSFM00750001632321	PPIAL4G
17984	ENSG00000168952	14	25278862	25519503	ENSFM00500000272618	STXBP6
17985	ENSG00000123104	12	26490342	26986131	ENSFM00250000000547	ITPR2
17986	ENSG00000173821	17	78234665	78372586	ENSFM00730001522194	RNF213
17987	ENSG00000268173	19	18263968	18288927	ENSFM00250000000988	PIK3R2
17988	ENSG00000073754	1	157800704	157868046	ENSFM00740001589075	CD5L
17989	ENSG00000165215	7	73183328	73184600	ENSFM00500000269751	CLDN3
17990	ENSG00000216490	19	18283972	18288927	ENSFM00670001235962	IFI30
17991	ENSG00000189143	7	73213872	73247014	ENSFM00500000269751	CLDN4
17992	ENSG00000125648	19	6436090	6465214	ENSFM00500000269757	SLC25A23
17993	ENSG00000127483	1	21069154	21113816	ENSFM00250000005391	HP1BP3
17994	ENSG00000254858	19	18303992	18307758	ENSFM00500000273343	MPV17L2
17995	ENSG00000224859	HSCHR6_MHC_COX	30016578	30022582	ENSFM00500000272733	ZNRD1
17996	ENSG00000139910	14	26912299	27066960	ENSFM00740001589294	NOVA1
17997	ENSG00000105649	19	18307594	18314884	ENSFM00730001521441	RAB3A
17998	ENSG00000198742	7	98625061	98741723	ENSFM00750001632391	SMURF1
17999	ENSG00000159723	16	67516474	67517716	ENSFM00600000921778	AGRP
18000	ENSG00000100567	14	58711549	58738730	ENSFM00420000140625	PSMA3
18001	ENSG00000137674	11	102447566	102496063	ENSFM00400000131728	MMP20
18002	ENSG00000155666	16	27214807	27233089	ENSFM00250000005703	KDM8
18003	ENSG00000137675	11	102562218	102576537	ENSFM00400000131728	MMP27
18004	ENSG00000119640	14	75519924	75536186	ENSFM00670001236427	ACYP1
18005	ENSG00000144824	3	111451344	111695364	ENSFM00600000921202	PHLDB2
18006	ENSG00000118113	11	102582526	102597781	ENSFM00400000131728	MMP8
18007	ENSG00000162825	1	144146808	144224481	ENSFM00250000000879	NBPF8
18008	ENSG00000108381	17	3375668	3406713	ENSFM00250000003469	ASPA
18009	ENSG00000169189	16	27236312	27280115	ENSFM00250000006171	NSMCE1
18010	ENSG00000255863	12	49315767	49333446	ENSFM00620001016213	AC073610.5
18011	ENSG00000107593	10	102047903	102090243	ENSFM00250000001392	PKD2L1
18012	ENSG00000172037	3	49158547	49170551	ENSFM00740001589141	LAMB2
18013	ENSG00000185467	7	98771197	98805129	ENSFM00750001632339	KPNA7
18014	ENSG00000134287	12	49329506	49351334	ENSFM00730001521124	ARF3
18015	ENSG00000168026	3	39149152	39180394	ENSFM00250000002099	TTC21A
18016	ENSG00000165171	7	73248920	73256865	ENSFM00500000273666	WBSCR27
18017	ENSG00000169884	12	49359123	49365546	ENSFM00730001521960	WNT10B
18018	ENSG00000255854	1	144363462	144364246	ENSFM00750001632321	PPIAL4B
18019	ENSG00000039523	16	67552321	67580691	ENSFM00250000001477	FAM65A
18020	ENSG00000013503	12	106751436	106903976	ENSFM00730001521672	POLR3B
18021	ENSG00000205744	19	6467218	6482568	ENSFM00250000001555	DENND1C
18022	ENSG00000123213	5	65018023	65167553	ENSFM00250000001825	NLN
18023	ENSG00000183853	1	157963063	158070052	ENSFM00250000000717	KIRREL
18024	ENSG00000167723	17	3413796	3461289	ENSFM00500000269768	TRPV3
18025	ENSG00000173852	7	34968488	35077883	ENSFM00250000002041	DPY19L1
18026	ENSG00000128536	7	105517242	105676877	ENSFM00250000009118	CDHR3
18027	ENSG00000158473	1	158149737	158154686	ENSFM00250000001219	CD1D
18028	ENSG00000164532	7	35242042	35293758	ENSFM00420000140554	TBX20
18029	ENSG00000158477	1	158223927	158228059	ENSFM00250000001219	CD1A
18030	ENSG00000176165	14	29235050	29238870	ENSFM00410000138513	FOXG1
18031	ENSG00000168614	1	144811744	144830413	ENSFM00250000000879	NBPF9
18032	ENSG00000125084	12	49372398	49375459	ENSFM00730001521228	WNT1
18033	ENSG00000158481	1	158259576	158263420	ENSFM00250000001219	CD1C
18034	ENSG00000168280	2	149632819	149883273	ENSFM00670001235340	KIF5C
18035	ENSG00000075151	1	21132963	21503377	ENSFM00250000000634	EIF4G3
18036	ENSG00000122557	7	35672269	35735181	ENSFM00600000921311	HERPUD2
18037	ENSG00000144827	3	111697857	111712210	ENSFM00250000007230	ABHD10
18038	ENSG00000077238	16	27324989	27376099	ENSFM00740001589426	IL4R
18039	ENSG00000158485	1	158297741	158301321	ENSFM00250000001219	CD1B
18040	ENSG00000241685	7	98923521	98985787	ENSFM00250000001944	ARPC1A
18041	ENSG00000184304	14	30045687	30661104	ENSFM00250000000930	PRKD1
18042	ENSG00000204475	6	31556672	31560762	ENSFM00250000007739	NCR3
18043	ENSG00000104833	19	6494330	6502859	ENSFM00250000000193	TUBB4A
18044	ENSG00000119638	14	75548822	75594047	ENSFM00730001522080	NEK9
18045	ENSG00000181929	12	49396057	49412980	ENSFM00250000001075	PRKAG1
18046	ENSG00000166670	11	102641234	102651359	ENSFM00400000131728	MMP10
18047	ENSG00000099194	10	102106881	102124591	ENSFM00750001632354	SCD
18048	ENSG00000196611	11	102660651	102668891	ENSFM00400000131728	MMP1
18049	ENSG00000105650	19	18318771	18366229	ENSFM00400000131721	PDE4C
18050	ENSG00000103522	16	27413483	27462115	ENSFM00740001589426	IL21R
18051	ENSG00000187581	14	93813537	93814702	ENSFM00500000436134	COX8C
18052	ENSG00000149968	11	102706532	102714534	ENSFM00400000131728	MMP3
18053	ENSG00000064102	12	27058114	27091259	ENSFM00250000002961	ASUN
18054	ENSG00000125657	19	6531010	6535931	ENSFM00600000922450	TNFSF9
18055	ENSG00000129226	17	7482785	7485429	ENSFM00250000008114	CD68
18056	ENSG00000137745	11	102813724	102826463	ENSFM00400000131728	MMP13
18057	ENSG00000122545	7	35840542	35944917	ENSFM00730001521482	SEPT7
18058	ENSG00000137692	11	102932805	102962944	ENSFM00500000270367	DCUN1D5
18059	ENSG00000144834	3	111717511	111732734	ENSFM00500000270015	TAGLN3
18060	ENSG00000168291	3	58413357	58419584	ENSFM00500000270150	PDHB
18061	ENSG00000077235	16	27470876	27561234	ENSFM00250000004040	GTF3C1
18062	ENSG00000102974	16	67596310	67673086	ENSFM00350000105473	CTCF
18063	ENSG00000100628	14	94400499	94443137	ENSFM00260000050535	ASB2
18064	ENSG00000092140	14	31028329	31089269	ENSFM00630001050589	G2E3
18065	ENSG00000111790	12	27091316	27119583	ENSFM00500000271325	FGFR1OP2
18066	ENSG00000130518	19	18367908	18385319	ENSFM00250000008370	KIAA1683
18067	ENSG00000170348	14	75598173	75643334	ENSFM00500000271022	TMED10
18068	ENSG00000125726	19	6583194	6604114	ENSFM00250000011706	CD70
18069	ENSG00000144655	3	39183346	39196053	ENSFM00250000001856	CSRNP1
18070	ENSG00000125735	19	6663148	6670599	ENSFM00250000010706	TNFSF14
18071	ENSG00000129255	17	7486847	7496107	ENSFM00250000004183	MPDU1
18072	ENSG00000159753	16	67678822	67691472	ENSFM00260000050454	RLTPR
18073	ENSG00000130429	7	98971872	98992424	ENSFM00250000001944	ARPC1B
18074	ENSG00000168334	3	39224701	39234087	ENSFM00250000001847	XIRP1
18075	ENSG00000187240	11	102980160	103350591	ENSFM00730001522054	DYNC2H1
18076	ENSG00000125730	19	6677715	6730573	ENSFM00250000000285	C3
18077	ENSG00000168329	3	39304985	39323226	ENSFM00250000000182	CX3CR1
18078	ENSG00000158488	1	158323254	158327343	ENSFM00250000001219	CD1E
18079	ENSG00000176040	3	111753690	111800116	ENSFM00500000269776	TMPRSS7
18080	ENSG00000047578	16	27561454	27791690	ENSFM00250000003577	KIAA0556
18081	ENSG00000262304	17	3468738	3539543	ENSFM00500000269768	SHPK
18082	ENSG00000112851	5	65222303	65378377	ENSFM00730001522141	ERBB2IP
18083	ENSG00000170345	14	75745477	75748933	ENSFM00500000270742	FOS
18084	ENSG00000008282	7	105730949	105753022	ENSFM00500000270007	SYPL1
18085	ENSG00000125734	19	6729925	6737614	ENSFM00250000002158	GPR108
18086	ENSG00000089723	14	94492675	94515276	ENSFM00500000272123	OTUB2
18087	ENSG00000049540	7	73442119	73484237	ENSFM00600000921804	ELN
18088	ENSG00000117298	1	21543740	21671997	ENSFM00250000000269	ECE1
18089	ENSG00000089737	14	94517266	94547591	ENSFM00260000050754	DDX24
18090	ENSG00000186306	1	158368312	158369256	ENSFM00730001521181	OR10T2
18091	ENSG00000180708	1	158389718	158390656	ENSFM00730001521181	OR10K2
18092	ENSG00000152457	10	14939358	14996431	ENSFM00250000003882	DCLRE1C
18093	ENSG00000169181	16	27798850	28074830	ENSFM00670001235575	GSG1L
18094	ENSG00000196689	17	3468738	3500392	ENSFM00500000269768	TRPV1
18095	ENSG00000075290	10	102222798	102243501	ENSFM00500000270223	WNT8B
18096	ENSG00000173285	1	158435272	158436344	ENSFM00730001521181	OR10K1
18097	ENSG00000198965	1	158449668	158450675	ENSFM00730001521181	OR10R2
18098	ENSG00000197532	1	158516918	158517895	ENSFM00420000140541	OR6Y1
18099	ENSG00000142794	1	21766621	21811498	ENSFM00250000000879	NBPF3
18100	ENSG00000186440	1	158532441	158533394	ENSFM00420000140541	OR6P1
18101	ENSG00000140044	14	75894419	75940814	ENSFM00500000274725	JDP2
18102	ENSG00000167548	12	49412758	49453557	ENSFM00250000001119	KMT2D
18103	ENSG00000186400	1	158548709	158549689	ENSFM00730001521181	OR10X1
18104	ENSG00000169180	16	28109300	28223241	ENSFM00250000004598	XPO6
18105	ENSG00000106244	7	98989671	99006452	ENSFM00600000921691	PDAP1
18106	ENSG00000198967	1	158576229	158577170	ENSFM00730001521181	OR10Z1
18107	ENSG00000106245	7	99006264	99017239	ENSFM00670001235512	BUD31
18108	ENSG00000152944	12	27175479	27219276	ENSFM00500000273638	MED21
18109	ENSG00000105835	7	105888731	105926772	ENSFM00250000004448	NAMPT
18110	ENSG00000075826	10	102246399	102289628	ENSFM00250000001336	SEC31B
18111	ENSG00000156127	14	75988768	76013358	ENSFM00500000274713	BATF
18112	ENSG00000162551	1	21835858	21904905	ENSFM00250000000564	ALPL
18113	ENSG00000168301	3	58477841	58488087	ENSFM00500000273077	KCTD6
18114	ENSG00000163554	1	158580496	158656488	ENSFM00740001589109	SPTA1
18115	ENSG00000125733	19	6737936	6751537	ENSFM00250000000770	TRIP10
18116	ENSG00000119686	14	76044960	76129557	ENSFM00500000270147	FLVCR2
18117	ENSG00000170962	11	103777914	104035107	ENSFM00250000004929	PDGFD
18118	ENSG00000165948	14	94547628	94570192	ENSFM00500000293638	IFI27L1
18119	ENSG00000188322	16	28303840	28335170	ENSFM00260000050611	SBK1
18120	ENSG00000185112	3	194406622	194409762	ENSFM00250000005671	FAM43A
18121	ENSG00000170967	11	103907308	103909922	ENSFM00250000002515	DDI1
18122	ENSG00000204472	6	31582961	31584798	ENSFM00670001235659	AIF1
18123	ENSG00000005102	17	41717756	41739322	ENSFM00500000271397	MEOX1
18124	ENSG00000204403	11	104756445	104769397	ENSFM00250000001340	CASP12
18125	ENSG00000205609	16	28390900	28415200	ENSFM00740001589160	EIF3CL
18126	ENSG00000129194	17	7491496	7493488	ENSFM00500000274021	SOX15
18127	ENSG00000178104	1	144836157	145076186	ENSFM00250000001701	PDE4DIP
18128	ENSG00000119737	2	54080050	54087126	ENSFM00250000007550	GPR75
18129	ENSG00000111652	12	6832907	6841041	ENSFM00250000003382	COPS7A
18130	ENSG00000211455	12	27396901	27478892	ENSFM00730001521504	STK38L
18131	ENSG00000261832	16	28477974	28503333	ENSFM00250000001562	CLN3
18132	ENSG00000105851	7	106505723	106547590	ENSFM00730001521385	PIK3CG
18133	ENSG00000168306	3	58490863	58523046	ENSFM00250000000722	ACOX2
18134	ENSG00000196171	1	158669369	158670486	ENSFM00730001521757	OR6K2
18135	ENSG00000129245	17	7494548	7518189	ENSFM00250000000920	FXR2
18136	ENSG00000185909	3	49209044	49213917	ENSFM00250000004061	KLHDC8B
18137	ENSG00000203757	1	158686958	158687953	ENSFM00730001521757	OR6K3
18138	ENSG00000180433	1	158724510	158725681	ENSFM00730001521757	OR6K6
18139	ENSG00000167550	12	49458468	49463808	ENSFM00670001235467	RHEBL1
18140	ENSG00000197403	1	158735466	158736492	ENSFM00730001521757	OR6N1
18141	ENSG00000173950	3	194789008	194991896	ENSFM00250000005248	XXYLT1
18142	ENSG00000106246	7	99014362	99063787	ENSFM00250000006598	PTCD1
18143	ENSG00000188340	1	158746472	158747425	ENSFM00730001521757	OR6N2
18144	ENSG00000197417	17	3511556	3539616	ENSFM00250000008112	SHPK
18145	ENSG00000204469	6	31588497	31605548	ENSFM00740001589307	PRRC2A
18146	ENSG00000165949	14	94571182	94583033	ENSFM00600000923997	IFI27
18147	ENSG00000163563	1	158801107	158819296	ENSFM00740001589420	MNDA
18148	ENSG00000076864	1	21922708	21995801	ENSFM00730001521789	RAP1GAP
18149	ENSG00000032219	14	58765103	58840605	ENSFM00250000001499	ARID4A
18150	ENSG00000040531	17	3539762	3564836	ENSFM00710001441894	CTNS
18151	ENSG00000172139	3	111859734	112013105	ENSFM00250000004507	SLC9C1
18152	ENSG00000248919	7	99017372	99063820	ENSFM00250000006598	ATP5J2-PTCD1
18153	ENSG00000187123	2	150186499	150330662	ENSFM00500000272877	LYPD6
18154	ENSG00000005249	7	106685094	106802256	ENSFM00730001521993	PRKAR2B
18155	ENSG00000139549	12	49483204	49488602	ENSFM00250000000992	DHH
18156	ENSG00000160917	7	99036545	99054994	ENSFM00500000270472	CPSF4
18157	ENSG00000213240	1	145209119	145291972	ENSFM00500000269589	NOTCH2NL
18158	ENSG00000255168	1	145209145	145319796	ENSFM00500000269589	RP11-458D21.5
18159	ENSG00000114316	3	49315264	49378145	ENSFM00570000851025	USP4
18160	ENSG00000119685	14	76099968	76421421	ENSFM00500000269966	TTLL5
18161	ENSG00000068878	2	54091204	54197977	ENSFM00250000002113	PSME4
18162	ENSG00000139636	12	49490919	49504683	ENSFM00250000001270	LMBR1L
18163	ENSG00000163564	1	158900586	158946844	ENSFM00740001589420	PYHIN1
18164	ENSG00000173818	17	78388965	78411886	ENSFM00250000006484	ENDOV
18165	ENSG00000196860	14	58862634	58875419	ENSFM00500000282437	TOMM20L
18166	ENSG00000100575	14	58875212	58894332	ENSFM00670001236198	TIMM9
18167	ENSG00000168288	2	150426148	150444330	ENSFM00250000005609	MMADHC
18168	ENSG00000163386	1	145289772	145370303	ENSFM00250000000879	NBPF10
18169	ENSG00000089693	12	6857170	6876641	ENSFM00500000271997	MLF2
18170	ENSG00000115963	2	151324709	151395525	ENSFM00500000269995	RND3
18171	ENSG00000188603	16	28477983	28506896	ENSFM00250000001562	CLN3
18172	ENSG00000029153	12	27485787	27576241	ENSFM00730001521895	ARNTL2
18173	ENSG00000129214	17	7517382	7536700	ENSFM00250000007264	SHBG
18174	ENSG00000255339	10	102265385	102289638	ENSFM00250000006874	NDUFB8
18175	ENSG00000168509	1	145413095	145417545	ENSFM00250000001343	HFE2
18176	ENSG00000234058	HSCHR6_MHC_COX	30024382	30028006	ENSFM00670001236638	PPP1R11
18177	ENSG00000168309	3	58549844	58613337	ENSFM00500000273986	FAM107A
18178	ENSG00000166136	10	102267203	102289757	ENSFM00250000006874	NDUFB8
18179	ENSG00000213977	17	3566196	3571976	ENSFM00500000274083	TAX1BP3
18180	ENSG00000257950	17	3566357	3599488	ENSFM00250000000463	P2RX5-TAX1BP3
18181	ENSG00000117289	1	145438469	145442635	ENSFM00500000269878	TXNIP
18182	ENSG00000125731	19	6752171	6767599	ENSFM00250000001526	SH2D3A
18183	ENSG00000105856	7	106809406	106842974	ENSFM00250000004942	HBP1
18184	ENSG00000167941	17	41831099	41836156	ENSFM00500000274661	SOST
18185	ENSG00000121851	1	145456236	145470388	ENSFM00500000272984	POLR3GL
18186	ENSG00000233276	3	49394609	49396033	ENSFM00500000270307	GPX1
18187	ENSG00000181039	1	145470508	145475646	ENSFM00250000003314	ANKRD34A
18188	ENSG00000119632	14	94594116	94596590	ENSFM00670001239827	IFI27L2
18189	ENSG00000067560	3	49396578	49450431	ENSFM00730001521223	RHOA
18190	ENSG00000131795	1	145507598	145513536	ENSFM00500000271659	RBM8A
18191	ENSG00000091972	3	112051194	112081659	ENSFM00250000008020	CD200
18192	ENSG00000141968	19	6772725	6857377	ENSFM00250000000864	VAV1
18193	ENSG00000108861	17	41843489	41856356	ENSFM00500000272272	DUSP3
18194	ENSG00000159335	12	6874682	6880116	ENSFM00670001246395	PTMS
18195	ENSG00000131779	1	145516252	145523730	ENSFM00670001235735	PEX11B
18196	ENSG00000083454	17	3575493	3599698	ENSFM00250000000463	P2RX5
18197	ENSG00000089692	12	6881678	6887621	ENSFM00250000009039	LAG3
18198	ENSG00000145022	3	49449639	49453908	ENSFM00670001237118	TCTA
18199	ENSG00000010610	12	6896024	6929974	ENSFM00250000002266	CD4
18200	ENSG00000163565	1	158969758	159024945	ENSFM00740001589420	IFI16
18201	ENSG00000119698	14	94612465	94746072	ENSFM00250000006377	PPP4R4
18202	ENSG00000174837	19	6887577	6940470	ENSFM00730001521501	EMR1
18203	ENSG00000241468	7	99046098	99063954	ENSFM00670001238206	ATP5J2
18204	ENSG00000114331	3	194995465	195163807	ENSFM00250000000926	ACAP2
18205	ENSG00000186265	3	112182815	112218408	ENSFM00250000009602	BTLA
18206	ENSG00000143127	1	145524891	145543868	ENSFM00730001521349	ITGA10
18207	ENSG00000130544	19	7069455	7087979	ENSFM00250000000002	ZNF557
18208	ENSG00000164597	7	106842000	107204959	ENSFM00250000003687	COG5
18209	ENSG00000145020	3	49454211	49460186	ENSFM00250000004200	AMT
18210	ENSG00000163689	3	58703092	59035810	ENSFM00250000006715	C3orf67
18211	ENSG00000141504	17	7529552	7531194	ENSFM00500000273521	SAT2
18212	ENSG00000198483	1	145549230	145568526	ENSFM00500000273867	ANKRD35
18213	ENSG00000171105	19	7112266	7294045	ENSFM00730001521215	INSR
18214	ENSG00000163568	1	159032274	159116886	ENSFM00500000276089	AIM2
18215	ENSG00000198556	7	99070464	99101273	ENSFM00250000000002	ZNF789
18216	ENSG00000227171	HSCHR6_MHC_COX	30027939	30033560	ENSFM00250000008056	RNF39
18217	ENSG00000144848	3	112251356	112280893	ENSFM00500000271371	ATG3
18218	ENSG00000204463	6	31606805	31620482	ENSFM00250000003234	BAG6
18219	ENSG00000250510	12	6930711	6939136	ENSFM00250000004703	GPR162
18220	ENSG00000197272	16	28510683	28523372	ENSFM00250000009126	IL27
18221	ENSG00000176046	16	28548606	28550495	ENSFM00670001245803	NUPR1
18222	ENSG00000131788	1	145575233	145586546	ENSFM00250000000995	PIAS3
18223	ENSG00000140093	14	94749650	94759608	ENSFM00250000000235	SERPINA10
18224	ENSG00000176476	16	28565236	28603111	ENSFM00250000005544	CCDC101
18225	ENSG00000170099	14	94770585	94789731	ENSFM00250000000235	SERPINA6
18226	ENSG00000129244	17	7549945	7561086	ENSFM00670001235362	ATP1B2
18227	ENSG00000162706	1	159141399	159173103	ENSFM00250000001126	CADM3
18228	ENSG00000197165	16	28603264	28608430	ENSFM00730001521311	SULT1A2
18229	ENSG00000100592	14	59655364	59838123	ENSFM00350000105429	DAAM1
18230	ENSG00000186364	1	145586115	145589439	ENSFM00250000009919	NUDT17
18231	ENSG00000161647	17	41878167	41910538	ENSFM00720001492025	MPP3
18232	ENSG00000268861	19	7445850	7535131	ENSFM00250000000618	CTD-2207O23.3
18233	ENSG00000104880	19	7459999	7537363	ENSFM00250000000618	ARHGEF18
18234	ENSG00000186141	1	145592605	145611025	ENSFM00250000006238	POLR3C
18235	ENSG00000197249	14	94843084	94857030	ENSFM00250000000235	SERPINA1
18236	ENSG00000110811	12	6937572	6949018	ENSFM00500000269952	LEPREL2
18237	ENSG00000153914	5	65435799	65479443	ENSFM00500000271049	SREK1
18238	ENSG00000213088	1	159173097	159176290	ENSFM00250000004652	DARC
18239	ENSG00000121848	1	145611036	145696218	ENSFM00620000999434	RNF115
18240	ENSG00000196502	16	28616903	28634946	ENSFM00730001521311	SULT1A1
18241	ENSG00000171246	17	78440948	78451643	ENSFM00500000269860	NPTX1
18242	ENSG00000226402	HSCHR6_MHC_COX	30060592	30070807	ENSFM00500000274638	TRIM31
18243	ENSG00000184898	2	152104454	152118393	ENSFM00250000008646	RBM43
18244	ENSG00000104883	19	7541761	7562335	ENSFM00250000005998	PEX11G
18245	ENSG00000110841	12	27676364	27848497	ENSFM00250000001883	PPFIBP1
18246	ENSG00000179639	1	159259504	159278014	ENSFM00500000273324	FCER1A
18247	ENSG00000106683	7	73497263	73536855	ENSFM00730001521981	LIMK1
18248	ENSG00000196266	1	159283460	159284449	ENSFM00730001521181	OR10J3
18249	ENSG00000198816	19	7580178	7585912	ENSFM00250000000002	ZNF358
18250	ENSG00000174827	1	145726918	145764074	ENSFM00740001589349	PDZK1
18251	ENSG00000141510	17	7565097	7590856	ENSFM00730001522139	TP53
18252	ENSG00000133935	14	76116134	76127532	ENSFM00500000272892	C14orf1
18253	ENSG00000196184	1	159409512	159410600	ENSFM00730001521181	OR10J1
18254	ENSG00000090674	19	7587512	7598895	ENSFM00250000001474	MCOLN1
18255	ENSG00000141564	17	78518619	78940171	ENSFM00250000003114	RPTOR
18256	ENSG00000184155	1	159504793	159505842	ENSFM00730001521181	OR10J5
18257	ENSG00000160908	7	99084142	99097947	ENSFM00740001589091	ZNF394
18258	ENSG00000132703	1	159557615	159558655	ENSFM00500000270738	APCS
18259	ENSG00000184203	3	195241221	195270209	ENSFM00670001235869	PPP1R2
18260	ENSG00000173402	3	49506146	49573048	ENSFM00250000004650	DAG1
18261	ENSG00000172209	7	107110463	107116098	ENSFM00250000005630	GPR22
18262	ENSG00000181619	14	59895740	59932060	ENSFM00250000007957	GPR135
18263	ENSG00000105865	7	107203929	107218906	ENSFM00500000270773	DUS4L
18264	ENSG00000126790	14	59927081	59951148	ENSFM00250000008210	L3HYPDH
18265	ENSG00000196652	7	99102274	99132323	ENSFM00570000851461	ZKSCAN5
18266	ENSG00000132693	1	159682079	159684379	ENSFM00500000270738	CRP
18267	ENSG00000166135	10	102288829	102319755	ENSFM00250000007623	HIF1AN
18268	ENSG00000189283	3	59735036	61237133	ENSFM00500000273476	FHIT
18269	ENSG00000123416	12	49521565	49525180	ENSFM00250000000217	TUBA1B
18270	ENSG00000221909	7	99143931	99156159	ENSFM00500000270351	FAM200A
18271	ENSG00000050130	14	59951161	59972128	ENSFM00250000005535	JKAMP
18272	ENSG00000184110	16	28699879	28747051	ENSFM00740001589160	EIF3C
18273	ENSG00000158716	1	159750722	159752333	ENSFM00500000274192	DUSP23
18274	ENSG00000123609	2	152126979	152146571	ENSFM00250000006979	NMI
18275	ENSG00000138459	3	112280556	112304424	ENSFM00250000007518	SLC35A5
18276	ENSG00000117262	1	145764411	145827103	ENSFM00250000003477	GPR89A
18277	ENSG00000083457	17	3617922	3704537	ENSFM00730001521375	ITGAE
18278	ENSG00000111664	12	6949118	6956557	ENSFM00250000000545	GNB3
18279	ENSG00000075790	7	107220422	107269615	ENSFM00670001235596	BCAP29
18280	ENSG00000075891	10	102495360	102589698	ENSFM00730001521271	PAX2
18281	ENSG00000106682	7	73588575	73611431	ENSFM00500000271538	EIF4H
18282	ENSG00000181036	1	159770301	159786041	ENSFM00500000274287	FCRL6
18283	ENSG00000197343	7	99156029	99174076	ENSFM00250000000002	ZNF655
18284	ENSG00000196644	1	145883868	145924373	ENSFM00250000003477	GPR89C
18285	ENSG00000164061	3	49591922	49708978	ENSFM00600000921250	BSN
18286	ENSG00000119699	14	76424442	76449334	ENSFM00250000000840	TGFB3
18287	ENSG00000111783	12	106976685	107156581	ENSFM00730001522261	RFX4
18288	ENSG00000158714	1	159796540	159807039	ENSFM00250000010833	SLAMF8
18289	ENSG00000032444	19	7598890	7626650	ENSFM00250000001353	PNPLA6
18290	ENSG00000164062	3	49711435	49721396	ENSFM00250000003584	APEH
18291	ENSG00000144724	3	61547243	62283288	ENSFM00730001521864	PTPRG
18292	ENSG00000167552	12	49578579	49583107	ENSFM00250000000217	TUBA1A
18293	ENSG00000243284	1	159824106	159832447	ENSFM00250000006547	VSIG8
18294	ENSG00000152042	1	146032647	146082765	ENSFM00250000000879	NBPF11
18295	ENSG00000086730	7	73613982	73644161	ENSFM00600000921948	LAT2
